language,polarity,rating,source,text,time,wordsCount,details
en,10,0,Foursquare,Order the White Sausage and ask for the Munich sweet mustard.,2009-05-28,11,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067efe0
en,5,0,Foursquare,..and do it before noon!,2011-09-04,5,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067efe1
en,5,0,Foursquare,"Finest beer, own brewery, you can get in Berlin",2012-03-22,9,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067efe2
en,5,0,Foursquare,Order the Biergulasch with dumplings (Knoedel),2012-06-02,6,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067efe3
en,10,0,Foursquare,Order a beer sampler before settling on a large beer of your liking.,2012-06-13,13,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067efe4
en,5,0,Foursquare,"Under no circumstances order the currywurst, take the leberkäse! Geiler shit!",2012-08-31,12,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067efe5
en,5,0,Foursquare,Lemke Original ftw!,2012-09-07,3,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067efe6
en,10,0,Foursquare,Some of the best beers in Germany.,2012-12-02,7,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067efe8
en,10,0,Foursquare,Order the 3 sausages'plate: generous and really good ! Try also the raviole and spinach plate : good vegetarian choice ;-),2013-04-14,18,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067efea
en,5,0,Foursquare,"Good german food is served here. I liked the ""Eisbein mit Sauerkraut und Kartoffelstamp"". They also serve their own beer, which was delicious.",2013-06-28,23,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067efec
en,5,0,Foursquare,"AYCE 6,80 € MO-FR 12-15 German Food",2013-06-29,5,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067efed
en,5,0,Foursquare,"AYCE 6,80 € MO-FR 12-15 German Food",2013-06-29,5,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067efee
en,5,0,Foursquare,"Really good beers! The seasonal  ""stout"" was a bit too tasteful / sweet though.",2013-07-02,13,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067efef
en,5,0,Foursquare,"Great place, with awesome beer (try the ""Original"") and cheaper than others similar around.",2013-08-14,14,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067eff6
en,10,0,Foursquare,best arab food in f'hain. delicious.,2011-04-17,6,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f004
en,10,0,Foursquare,Amazing middle eastern food. Love the falafel and shawarma.,2012-03-19,9,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f005
en,10,0,Foursquare,"Wow, the 'Schawarma and Makali'. Simply amazing!",2012-11-29,7,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f006
en,5,0,Foursquare,eat a DaDa-Teller,2009-11-05,3,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f00e
en,10,0,Foursquare,Best haloumi around since 1999.,2009-12-04,4,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f00f
en,5,0,Foursquare,"Maybe the best Falafel in town. ""Dada Teller"" is a great choice!",2010-01-03,12,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f010
en,5,0,Foursquare,Try the Haloumi!,2010-05-12,3,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f011
en,10,0,Foursquare,"Food and especially sauces are good, but for berlin... Overpriced and really small portions! Tiniest salad of my life for €4.5... Not again! Could only work as an appetizer really",2010-05-31,29,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f014
en,5,0,Foursquare,"Every Sunday from 19:00 there's ""Classical Revolution"" — a classical jam session with sheet music",2011-03-27,13,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f015
en,10,0,Foursquare,"Marvelous, fresh, tasty falafels!",2011-04-09,4,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f016
en,5,0,Foursquare,Auberginenmus... is my favorite. What's yours?,2011-04-16,6,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f017
en,5,0,Foursquare,"Try Halumi-Teller, awesome!",2011-05-21,3,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f018
en,5,0,Foursquare,dish of choice: dada teller,2011-08-15,5,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f019
en,10,0,Foursquare,delicious and nice to spend time for a while,2011-09-16,9,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f01c
en,5,0,Foursquare,Stylish...,2011-09-27,1,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f01d
en,10,0,Foursquare,The falafel with haloumi is just terrific here …,2011-11-13,8,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f01e
en,5,0,Foursquare,As the name suggest – take the Falafel!,2011-11-16,7,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f01f
en,0,0,Foursquare,Over priced. Poor service. Tourist trap.,2012-01-16,6,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f021
en,10,0,Foursquare,Meat is spicy and tasty. Portions are 'quality over quantity'.,2012-01-20,10,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f022
en,10,0,Foursquare,Try the halumi with a bit of hot sauce... Yum,2012-01-25,10,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f023
en,10,0,Foursquare,"Best felafel I've tried, really tasteful, great salad and sauces.",2012-02-06,10,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f024
en,5,0,Foursquare,Go before 2am or they will be shut.,2012-03-10,8,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f027
en,10,0,Foursquare,"Eat Dada teller and a Flensburger bier! Just 10 euros, it's a wonderful meal!",2012-04-06,13,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f029
en,0,0,Foursquare,Never NEVER trust the waitress to get a seat and order not directly at the shop at lunch time - otherwise you'll have to wait 45+ minutes for a Dada plate,2012-06-18,30,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f02b
en,10,0,Foursquare,"Probably the best falafel ever, a sandwich for only 3.50€, a plate for 5€. Just a few steps away from Tacheles.",2012-09-09,19,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f02c
en,10,0,Foursquare,Best quality of falafel in Berlin.,2012-10-17,6,http://tour-pedia.org/api/getReviewDetails?id=52a74cc9ae9eef5a5067f02e
